lon;lat;depth;slip;strike;dip;rake;width;length;rupture
35.30798231;33.85619705;353.553;0;25;45;90;200;1000;9.715
35.312555;33.86436585;353.553;0;25;45;90;200;1000;9.533
35.31712857;33.87253448;353.553;0;25;45;90;200;1000;9.244
35.32170301;33.88070292;353.553;0.18316;25;45;90;200;1000;9.114
35.32627832;33.88887118;353.553;0.58364;25;45;90;200;1000;8.575
35.3308545;33.89703926;353.553;0.53435;25;45;90;200;1000;8.208
35.33543155;33.90520717;353.553;0.50628;25;45;90;200;1000;7.919
35.34000948;33.91337489;353.553;0.16085;25;45;90;200;1000;7.671
35.34458828;33.92154242;353.553;0;25;45;90;200;1000;7.467
35.34916795;33.92970978;353.553;0.35722;25;45;90;200;1000;7.299
35.3537485;33.93787696;353.553;0;25;45;90;200;1000;7.217
35.35832993;33.94604396;353.553;0;25;45;90;200;1000;7.003
35.36291223;33.95421077;353.553;0.328;25;45;90;200;1000;6.847
35.3674954;33.9623774;353.553;0.74627;25;45;90;200;1000;6.484
35.37207946;33.97054385;353.553;0.35867;25;45;90;200;1000;6.131
35.37666438;33.97871012;353.553;0.12022;25;45;90;200;1000;5.859
35.38125019;33.98687621;353.553;0.088611;25;45;90;200;1000;5.613
35.38583687;33.99504212;353.553;0.18601;25;45;90;200;1000;5.365
35.39042443;34.00320784;353.553;0.20522;25;45;90;200;1000;5.202
35.39501287;34.01137339;353.553;0.18601;25;45;90;200;1000;5.03
35.39960219;34.01953875;353.553;0.16085;25;45;90;200;1000;4.867
35.40419238;34.02770392;353.553;0.13841;25;45;90;200;1000;4.538
35.40878346;34.03586892;353.553;0.48188;25;45;90;200;1000;4.288
35.41337541;34.04403373;353.553;0.63722;25;45;90;200;1000;4.142
35.41796825;34.05219837;353.553;0;25;45;90;200;1000;4.066
35.42256197;34.06036282;353.553;0;25;45;90;200;1000;3.623
35.42715657;34.06852708;353.553;0.30623;25;45;90;200;1000;3.521
35.43175204;34.07669117;353.553;0.34343;25;45;90;200;1000;3.414
35.43634841;34.08485507;353.553;0.43982;25;45;90;200;1000;3.271
35.44094565;34.09301879;353.553;1.1211;25;45;90;200;1000;3.207
35.44554378;34.10118232;353.553;0.69207;25;45;90;200;1000;3.343
35.45014279;34.10934567;353.553;0;25;45;90;200;1000;3.414
35.45474268;34.11750884;353.553;0.13608;25;45;90;200;1000;3.626
35.45934346;34.12567183;353.553;0.29788;25;45;90;200;1000;3.765
35.46394512;34.13383463;353.553;0.55871;25;45;90;200;1000;3.927
35.46854767;34.14199725;353.553;0.20522;25;45;90;200;1000;4.112
35.4731511;34.15015969;353.553;0.47889;25;45;90;200;1000;4.397
35.47775542;34.15832194;353.553;0.52097;25;45;90;200;1000;4.652
35.48236062;34.16648401;353.553;0.5998;25;45;90;200;1000;4.951
35.48696672;34.17464589;353.553;1.107;25;45;90;200;1000;5.141
35.49157369;34.1828076;353.553;0.47768;25;45;90;200;1000;5.463
35.49618156;34.19096911;353.553;0.10433;25;45;90;200;1000;5.696
35.50079031;34.19913045;353.553;0.37511;25;45;90;200;1000;6.033
35.50539996;34.2072916;353.553;0;25;45;90;200;1000;6.098
35.51001049;34.21545256;353.553;0.52097;25;45;90;200;1000;6.24
35.51462191;34.22361335;353.553;0.5896;25;45;90;200;1000;6.346
35.51923422;34.23177394;353.553;0.65255;25;45;90;200;1000;6.626
35.52384742;34.23993436;353.553;0.1608;25;45;90;200;1000;6.697
35.52846151;34.24809458;353.553;0.59718;25;45;90;200;1000;6.91
35.53307649;34.25625463;353.553;0.34929;25;45;90;200;1000;7.186
35.53769236;34.26441449;353.553;0;25;45;90;200;1000;7.336
35.54230912;34.27257416;353.553;0.13841;25;45;90;200;1000;7.547
35.54692678;34.28073365;353.553;0.17303;25;45;90;200;1000;7.66
35.55154533;34.28889296;353.553;0.84143;25;45;90;200;1000;7.817
35.55616477;34.29705208;353.553;0.7885;25;45;90;200;1000;8.033
35.56078511;34.30521101;353.553;0.43982;25;45;90;200;1000;8.271
35.56540634;34.31336976;353.553;0;25;45;90;200;1000;8.535
35.57002846;34.32152832;353.553;0;25;45;90;200;1000;8.764
35.57465148;34.3296867;353.553;0.10433;25;45;90;200;1000;8.93
35.57927539;34.3378449;353.553;0.15224;25;45;90;200;1000;9.102
35.5839002;34.34600291;353.553;0.1752;25;45;90;200;1000;9.319
35.58852591;34.35416073;353.553;0.023149;25;45;90;200;1000;9.555
35.59315251;34.36231837;353.553;0.5533;25;45;90;200;1000;9.751
35.59778001;34.37047582;353.553;0;25;45;90;200;1000;9.937
35.6024084;34.37863308;353.553;0;25;45;90;200;1000;10.14
35.6070377;34.38679016;353.553;0;25;45;90;200;1000;10.352
35.61166789;34.39494705;353.553;0.45262;25;45;90;200;1000;10.595
35.61629898;34.40310376;353.553;0.74184;25;45;90;200;1000;10.793
35.62093097;34.41126028;353.553;0.72503;25;45;90;200;1000;11.009
35.62556386;34.41941662;353.553;0;25;45;90;200;1000;11.25
35.63019765;34.42757276;353.553;0;25;45;90;200;1000;11.508
35.63483234;34.43572873;353.553;0;25;45;90;200;1000;11.745
35.63946792;34.4438845;353.553;0;25;45;90;200;1000;12.017
35.64410442;34.45204009;353.553;0;25;45;90;200;1000;12.285
35.64874181;34.46019549;353.553;0;25;45;90;200;1000;12.548
35.6533801;34.46835071;353.553;0;25;45;90;200;1000;12.821
35.6580193;34.47650574;353.553;0;25;45;90;200;1000;13.112
35.6626594;34.48466058;353.553;0;25;45;90;200;1000;13.354
35.6673004;34.49281523;353.553;0;25;45;90;200;1000;13.61
35.67194231;34.5009697;353.553;0;25;45;90;200;1000;13.868
35.67658512;34.50912398;353.553;0;25;45;90;200;1000;14.258
35.68122884;34.51727807;353.553;0;25;45;90;200;1000;14.627
35.68587346;34.52543197;353.553;0;25;45;90;200;1000;14.838
35.69051898;34.53358569;353.553;0;25;45;90;200;1000;15.199
35.69516542;34.54173922;353.553;0;25;45;90;200;1000;15.531
35.69981275;34.54989256;353.553;0;25;45;90;200;1000;15.858
35.704461;34.55804572;353.553;0;25;45;90;200;1000;16.149
35.70911015;34.56619868;353.553;0;25;45;90;200;1000;16.404
35.71376021;34.57435146;353.553;0;25;45;90;200;1000;16.658
35.2591236;33.76578942;494.975;0.26925;25;45;90;200;1000;11.936
35.26368687;33.77396021;494.975;0;25;45;90;200;1000;11.743
35.26825101;33.78213081;494.975;0.27115;25;45;90;200;1000;11.504
35.27281602;33.79030124;494.975;0.087964;25;45;90;200;1000;11.385
35.27738189;33.79847148;494.975;0;25;45;90;200;1000;11.302
35.28194863;33.80664155;494.975;0.50835;25;45;90;200;1000;11.134
35.28651623;33.81481144;494.975;1.1336;25;45;90;200;1000;10.889
35.29108471;33.82298114;494.975;0.8191;25;45;90;200;1000;10.753
35.29565406;33.83115067;494.975;0;25;45;90;200;1000;10.465
35.30022427;33.83932002;494.975;0.29145;25;45;90;200;1000;10.238
35.30479536;33.84748918;494.975;0.40035;25;45;90;200;1000;9.938
35.30936731;33.85565817;494.975;0.088611;25;45;90;200;1000;9.649
35.31394014;33.86382697;494.975;0;25;45;90;200;1000;9.431
35.31851384;33.8719956;494.975;0;25;45;90;200;1000;9.136
35.32308841;33.88016404;494.975;0.79953;25;45;90;200;1000;8.965
35.32766385;33.8883323;494.975;1.5291;25;45;90;200;1000;8.673
35.33224016;33.89650039;494.975;0.70889;25;45;90;200;1000;8.2
35.33681735;33.90466829;494.975;1.216;25;45;90;200;1000;7.859
35.34139541;33.91283601;494.975;0.12022;25;45;90;200;1000;7.604
35.34597434;33.92100355;494.975;0;25;45;90;200;1000;7.451
35.35055415;33.92917091;494.975;0.52967;25;45;90;200;1000;7.234
35.35513483;33.93733809;494.975;0.13823;25;45;90;200;1000;7.125
35.35971639;33.94550508;494.975;0;25;45;90;200;1000;6.974
35.36429882;33.9536719;494.975;0.34497;25;45;90;200;1000;6.759
35.36888213;33.96183853;494.975;0.84211;25;45;90;200;1000;6.465
35.37346631;33.97000498;494.975;0.45672;25;45;90;200;1000;6.111
35.37805137;33.97817126;494.975;0.16085;25;45;90;200;1000;5.822
35.38263731;33.98633734;494.975;0.20522;25;45;90;200;1000;5.602
35.38722412;33.99450325;494.975;0.15224;25;45;90;200;1000;5.33
35.39181182;34.00266898;494.975;0.23138;25;45;90;200;1000;5.126
35.39640039;34.01083452;494.975;0.15224;25;45;90;200;1000;4.953
35.40098984;34.01899988;494.975;0.38574;25;45;90;200;1000;4.812
35.40558017;34.02716506;494.975;0.087964;25;45;90;200;1000;4.485
35.41017138;34.03533006;494.975;0.62323;25;45;90;200;1000;4.192
35.41476346;34.04349487;494.975;0.64305;25;45;90;200;1000;3.997
35.41935643;34.0516595;494.975;0;25;45;90;200;1000;3.92
35.42395028;34.05982395;494.975;0;25;45;90;200;1000;3.593
35.42854501;34.06798822;494.975;0.31309;25;45;90;200;1000;3.494
35.43314063;34.0761523;494.975;0.96782;25;45;90;200;1000;3.318
35.43773712;34.08431621;494.975;0.87524;25;45;90;200;1000;3.162
35.4423345;34.09247993;494.975;1.3621;25;45;90;200;1000;3.132
35.44693276;34.10064346;494.975;1.0324;25;45;90;200;1000;3.271
35.4515319;34.10880681;494.975;0.22512;25;45;90;200;1000;3.345
35.45613193;34.11696998;494.975;0.17303;25;45;90;200;1000;3.495
35.46073284;34.12513297;494.975;0.31647;25;45;90;200;1000;3.657
35.46533464;34.13329578;494.975;0.63166;25;45;90;200;1000;3.857
35.46993732;34.1414584;494.975;0.23138;25;45;90;200;1000;4.082
35.47454088;34.14962083;494.975;0.61757;25;45;90;200;1000;4.347
35.47914534;34.15778309;494.975;0.59275;25;45;90;200;1000;4.633
35.48375067;34.16594516;494.975;0.74426;25;45;90;200;1000;4.886
35.4883569;34.17410704;494.975;1.4174;25;45;90;200;1000;5.1
35.49296401;34.18226874;494.975;0.74944;25;45;90;200;1000;5.38
35.49757201;34.19043026;494.975;0.52444;25;45;90;200;1000;5.65
35.5021809;34.1985916;494.975;0.47735;25;45;90;200;1000;6.017
35.50679068;34.20675275;494.975;0.13823;25;45;90;200;1000;6.027
35.51140134;34.21491371;494.975;1.0621;25;45;90;200;1000;6.196
35.51601289;34.2230745;494.975;0.80868;25;45;90;200;1000;6.274
35.52062534;34.23123509;494.975;0.7634;25;45;90;200;1000;6.505
35.52523867;34.23939551;494.975;0.35867;25;45;90;200;1000;6.612
35.5298529;34.24755574;494.975;0.73596;25;45;90;200;1000;6.843
35.53446801;34.25571578;494.975;0.27331;25;45;90;200;1000;7.12
35.53908402;34.26387564;494.975;0;25;45;90;200;1000;7.25
35.54370092;34.27203532;494.975;0.087964;25;45;90;200;1000;7.46
35.54831871;34.28019481;494.975;0.3612;25;45;90;200;1000;7.625
35.55293739;34.28835411;494.975;1.1071;25;45;90;200;1000;7.77
35.55755697;34.29651323;494.975;0.9525;25;45;90;200;1000;8.014
35.56217744;34.30467217;494.975;0.69207;25;45;90;200;1000;8.251
35.5667988;34.31283092;494.975;0;25;45;90;200;1000;8.52
35.57142106;34.32098949;494.975;0.25487;25;45;90;200;1000;8.705
35.57604422;34.32914786;494.975;0.14935;25;45;90;200;1000;8.872
35.58066826;34.33730606;494.975;0.18601;25;45;90;200;1000;9.067
